tale_id,gold_status,collection,volume_no,source_ref,rights_status,content_description,set,sampling_version,local_type_scheme,local_type,mapping_status,mapping_relation,type_count,atu_labels,atu_labels_json
era_vene_15_433_1,ok,"ERA, Vene",15,"ERA, Vene 15, 433/52 (1)",open,"[У царя Картауза после двуста лет рождается сын Еруслан Лазарич. Ерусланова сила такова, что руки и ноги отрывает. По наущению баяр царь помещает сына жить в отдельный дворец. Семь лет спустя, Еруслан решает обзавестись лошадью. Встречает под дубом Иванушку белую рубашку, который говорит где поймать коня. Еруслан бьёт лошадь кулаком по лбу и отводит к себе во дворец._x000D_
Идёт к отцу просить сбрую, мать даёт сбрую и оружие. Еруслан отправляется в путь, попадает на поле с побитой богатырём Иван Седларусским ратью. Находит шатёр богатыря, они мерюют силы, братаются._x000D_
Еруслан отправляется за невестой ""всех краше"" в Валхамеево царство по совету королевны Ивана. Там встречается с тремя сестрами, убивает старших за неприятный ответ, младшая посылает в Бахарухарской царство к Настасье._x000D_
Еруслан возвращается в родное царство, которое под атакой царя Данила/Дадона. Побеждает неприятельскую рать, Данон остаётся защищать царство._x000D_
Еруслан отправляется к Настасье Бугругоравне. В том царстве стоит защитником Ивашка белая рубашка. Они борятся, Еруслан убивает Ивана. Настасью отправляют на съедение змею. Иван приходит на берег, где ждёт змея Настасья. Говорит ей разбудить его, когда змей появится. Змей выходит из воды - Настасья не может богатыря разбудить, только ожог от слезы помогает._x000D_
Еруслан сбивает две головы змея, змей просит пощады за драгоценный камень. Отдаёт камень, но Еруслан его всё равно убивает. Отец Настасьи предлагает Еруслану женидьбу, он соглашается, но едет домой просить благословения. Дома царь Даниил убил жен Картуза и Лазаря, самих царей ослепил и посадил в темницу. Отцы посылают Еруслана к пламенному царю за желчью, которая вернёт зрение. По дороге берёт у обезглавленого богатыря Роганея меч, которым можно убить огненного царя. Убивает огненного царя одним ударом меча, оживляет Роганея, они братаются. Еруслан смазывает глаза отцам и рыцарям, они прозревают; убивает жену Даниила и ослепляет его._x000D_
Еруслан женится на Настасье, поздже спрашивает, если ли девица краше неё в Солнечном царстве. Она отвечает, что есть, Еруслан уежает проверить. Настасья рожает сына, его называут незаконорожденными, потому что отца нет. В пять лет мальчик решает поехать искать отца. Приежает в Солнечное царство, вызывает отца на поединок, Еруслан прижимает сына копьём к земле, но узнаёт по перстню._x000D_
Еруслан наказывает сыну, тоже Еруслану, ехать к Ивану Седларусскому. Сын побеждает богатыря и сравнивает себя с богом. На пути после боя встречает старика, который забирает у него за пахвальбу силу.]",core,v1_20251230,SUS,650В*,mapped_from_local,broad,3,['650A'],"[""650A""]"
era_vene_14_451_7,ok,"ERA, Vene",14,"ERA, Vene 14, 451 (7)",open,Салавей разбойник и Илья Мурамец.,core,v1_20251230,SUS,650С*,mapped_from_local,close,3,['650A'],"[""650A""]"
era_vene_16_744_22,ok,"ERA, Vene",16,"ERA, Vene 16, 744 (22)",open,[Якорий убивает змея].,core,v1_20251230,,,not_needed_native_atu,exact,2,['300'],"[""300""]"
era_vene_16_548_4,ok,"ERA, Vene",16,"ERA, Vene 16, 548/51 (4)",open,"[Гармонист всречает девушку, которая говорит, что он теперь её жених. До свадьбы девушка остаётся лягушкой. На свадьбе лягушка обращается красавицей. После свадьбы она обращается кобылой, велит продать на ярмарке, но без узды, иначе останется кобылой. Продаёт её много раз - богатеет. Случайно продаёт вместе с уздечкой. Через три года идёт мельнику, кому продал чтобы жену забрать. Мельник не продаёт, узду не украсть, друг передаёт. Жена возвращается домой - тощая, и боль ше не оборачивается.]",core,v1_20251230,,,not_needed_native_atu,exact,3,"['402', '325']","[""402"", ""325""]"
tru_vkk_5_36_20,ok,"TRÜ, VKK",5,"TRÜ, VKK 5, 36/43 (20)",restricted_anon,"Кобылица-Луравица с двенацатимя жеребятами. [У деда с бабой три сына - два умных женатых, третий Иванушка дурачок холостой. Каждую ночь кто-то топчет пшеницу. Братья идут караулить, старшие спят и не видят кобылицу с двенадцатью жеребятами. Младший в карауле не спит, хватает одного жеребёнка, но отпускат, когда жеребица просит за услугу._x000D_
Царь отдат свою дочку за того, кто её на вышке поцелует. Старшие собираются, Иванушка идёт по грибы. В лесу призывает кобылицу, пролезает в ухо - делается красавцем. На кобылице допрыгивает до царевны и целует её. На второй день, царевна вбивает в лоб перстень. Иванушка завязывает лоб. Царь призывает всех мужчин, чтобы найти жениха. Дочки признаёт Иванушку по перстню, сняв повязку.]",core,v1_20251230,,,not_needed_native_atu,exact,4,['530'],"[""530""]"
tru_vkk_5_58_29,ok,"TRÜ, VKK",5,"TRÜ, VKK 5, 58/62 (29)",restricted_anon,[Морозко].,core,v1_20251230,SUS,480,mapped_from_local,broad,5,['480D*'],"[""480D*""]"
tru_vkk_9_28_3,ok,"TRÜ, VKK",9,"TRÜ, VKK 9, 28/51 (3)",restricted_anon,"Сказка про Ивана-Козлова сына. [Королева съедает окуня, остатки - кухарка, коза - кости. Все трое рожают сыновей. Сыновья ночуют три ночи в доме, в который смог влесть только Иван-Козлов. Стоя в дозоре, он убивает шестиглавых змеев. Идут дальше, находят большую яму, которая ведет на тот свет. Иван-Козлов идёт туда один, сражается со змееями, третий раз оставляет в живых. Свтречает там трёх девушек, у них дворцы - медный, серебрянный, золотой. Братья женятся на них.]",core,v1_20251230,,,not_needed_native_atu,exact,2,"['300', '300A']","[""300"", ""300A""]"
tru_vkk_62_7_1,ok,"TRÜ, VKK",62,"TRÜ, VKK 62, 7/20 (1)",restricted_anon,Иван-царевич и серый волк.,core,v1_20251230,,,not_needed_native_atu,exact,3,['550'],"[""550""]"
tru_vkk_48_62_110,ok,"TRÜ, VKK",48,"TRÜ, VKK 48, 62/3 (110)",restricted_anon,Сказка [Морозко].,core,v1_20251230,SUS,480,mapped_from_local,broad,5,['480D*'],"[""480D*""]"
tru_vkk_43_8_2,ok,"TRÜ, VKK",43,"TRÜ, VKK 43, 8/10 (2)",restricted_anon,"Сказка ""Аленький цветочек"".",core,v1_20251230,,,not_needed_native_atu,exact,2,['425C'],"[""425C""]"
tru_vkk_32_14_2,ok,"TRÜ, VKK",32,"TRÜ, VKK 32, 14/6 (2)",restricted_anon,"Деду помогают Месяц, Солнце и Орёл по дороге во Псков за овсом. Он просватал за них своих дочерей. Отпраялется к зятьям в гости. Насмотрелся там всяких чудес, думает, что ему это тоже дозволено, но баба избевает его.",core,v1_20251230,,,not_needed_native_atu,exact,4,['552'],"[""552""]"
tru_vkk_32_26_5,ok,"TRÜ, VKK",32,"TRÜ, VKK 32, 26/7 (5)",restricted_anon,"Лисичка. [Больной король велит трём сыновьям найти лекарство. Младшему встречается лисичка, которая направляет его в замок с попугаями и велит взять самого неказистого. В замке принца хватает стража, которая велит привезти коня вземен попугая. Принц выходит плача из замка, ему снова встречается лисичка...] [фрагмент]",core,v1_20251230,,,not_needed_native_atu,exact,3,['550'],"[""550""]"
era_vene_1_503_1,ok,"ERA, Vene",1,"ERA, Vene 1, 503/4 (1)",open,[Царевна-лягушка].,core,v1_20251230,,,not_needed_native_atu,exact,3,['402'],"[""402""]"
era_vene_5_442_6,ok,"ERA, Vene",5,"ERA, Vene 5, 442/9 (6)",open,"Баба-Яга. [2 брата ссорятся деля богатство. Младший Василий уходит из дома, говорит, чтобы брат следил, что если чаша наполнится кровью - он в беде._x000D_
Василий приходит в город в трауре - шестиглавый змей ест жителей. Василий убивает змея, но мясник врёт, что он убил змея, после того как выбивает Василия из седла и похищает царевну и завтавляет её врать, что мясник убил змея. Царевня любит Василия, не хочет замуж за мясняка, высматривает Василия в трубу. Рассказывает правду отцу, они находят Василия в поле. Василий и царевня женятся, мясняка убивают._x000D_
Василий едет на охоту, гонится за оленем, приходит к избушке Бабы-Яги. Яга дает ему сонной еды, отрубает голову. Брат Николай видит, что чаша полна крови, едет искать брата. Николай встречает колдуна, который дал чашу, тот даёт совет как выжить у Яги._x000D_
Николай приходит в царство Василия, жениться на сестре царевны, брат не находится. Видит оленя на охоте, попадает к Яге, накрывает её полотенцем от колдуна. Заставляет Ягу принести мёртвой и живой воды, оживляет Василия. Ягу и другую тварь сжигают в печи.]",core,v1_20251230,,,not_needed_native_atu,exact,2,"['303', '300']","[""303"", ""300""]"
era_vene_5_507_1,ok,"ERA, Vene",5,"ERA, Vene 5, 507/15 (1)",open,Сказка про брата и сестру.,core,v1_20251230,,,not_needed_native_atu,exact,2,['706'],"[""706""]"
era_vene_5_503_1,ok,"ERA, Vene",5,"ERA, Vene 5, 503/7 (1)",open,"Про духов лесных и бабу-колдовку. [У царя сын королевич и дочка царевна, в лесу жили семь злых и семь добрых духов, царь советуется всегда с добрыми. Злые рассердились, наслали на сына болезнь, он умирает. Просят бабу-колдовку украсть царевну, потому что царь к ним всё равно не обращается. Добрые духи посылают к царевне Лукапере голубя с тремя волшебными вещами, которые они кидает при побеге. В конце баба тонет в полотенце-реке.]",core,v1_20251230,,,not_needed_native_atu,exact,2,['313'],"[""313""]"
era_vene_6_337_3,ok,"ERA, Vene",6,"ERA, Vene 6, 337/46",open,"Сказка про заклянутое царство. [Старик закидывает трижды невод, на третий раз - запечатаная бутыль. Открывает бутыль - из дыма появляеться страшный человек и горозит убить за то, что выпустил. Старик ""не верит"", просит показать, как такой огромный в бутылку помещается. Человек прячется в бутылке, мужик её закупыривает. Человек просится обратно за награду. Старик выпускает. Человек с козлом велит ловить рыбу, но самому не есть, а продать. Старик продаёт князю чудных четыре рыбины, они пропадают со сковородки после появления человека. Князь не верит, хочет сам увидеть, посялает старика за рыбой. Князь сам жарит рыбу, всё повторяется. С испугу князь Салтан требут у мужика место ловли. Возле озера князь находит большое здание, в нём сидит на троне царь Зензевей - на половину из камня. Его и его царство заколдовала жена за то, что её любовника ранил._x000D_
Салтан находит любовника и убивает, притворяеся раненым. Говорит жене, что поправиться, если всех расколдует. Вместо озера становить большой город. Салтан вернулся домой и наградил рыбака.]",core,v1_20251230,,,not_needed_native_atu,exact,2,['331'],"[""331""]"
era_vene_6_347_4,ok,"ERA, Vene",6,"ERA, Vene 6, 347/66",open,Иван Иваныч - купецкий сын.,core,v1_20251230,,,not_needed_native_atu,exact,2,['303'],"[""303""]"
era_vene_6_366_5,ok,"ERA, Vene",6,"ERA, Vene 6, 366/78",open,"Женатый брат работает по хозяйству, холостой младший охотится. Младший встречает у реки девушку, она зовёт его гулять, он отказывается и говорит, что вечером будет время - она пропадает. Ночью девушка появляется в амбаре и опять зовёт, он отказываеться, утром она пропадает. На следующую ночь всё повторяется. Мишька спит в избе, чтобы девка не мучала; никто не появляется._x000D_
Ночью на гумно приходит барин, просит Мишьку читать покойнице. Ночью покойница встаёт и его атакуют демоны, но старушка говорит, как защититься. После трёх ночей похоронили. Мишку относит домой девушка, на которой он женится. Возращаются навестить девушкину родню, она предупреждает, чтобы не брал приданого. По приезде дают богатство и хороших коней-чертей. Мишька отказывается, просит крестьянских лошадей. По возращении домой кони превращаються в попа и попадью, которые их наградили.",core,v1_20251230,EE,424*,mapped_from_local,broad,3,"['307', '410']","[""307"", ""410""]"
era_vene_7_71_1,ok,"ERA, Vene",7,"ERA, Vene 7, 71/2 (1)",open,"Сказка о Змей Горыныче. [Во дворец царевны попадает молния - она пропадает. Позже оказывается, что она у Змей Горыныча, который хочет на ней женится, но не может, потому что не истёк срок, который скоро заканчивается - о чём царь сообщает сыну, младшему брату царевны Ивану._x000D_
Иван летит в царство Змея на птице из волшебного яйца. Дворец Змея на ледяной горе. Иван убивает Змея мечом, возвращаются с сестрой на птице домой.]",core,v1_20251230,,,not_needed_native_atu,exact,2,['301'],"[""301""]"
era_vene_8_210_126,ok,"ERA, Vene",8,"ERA, Vene 8, 210/1 (126)",open,"Сказка про грехов. [Баба не любит падчерицу, велит деду топить баню. Баба посылает падчерицу за своей рубахой в баню после того, как все вымылись. Падчерица приходит в баню, а там черти парятся. Девушка просит чертей дать рубашку, они велят зайти в баню. Старший грех сватает её, она просит сначала подарков и три раза на санях объехать. Пока они объежают, кричит петух; черти пропадают, девушка остаётся с богатством.]",core,v1_20251230,,,not_needed_native_atu,exact,3,['480A'],"[""480A""]"
era_vene_8_223_147,ok,"ERA, Vene",8,"ERA, Vene 8, 223/4 (147)",open,"Лихорадок - 12 сестёр. Вот стоят три сестры возле мужика на поле и обсуждают, как в него войти. Мужик подслушивает их и избегает заболевания.",core,v1_20251230,SUS,735A****,mapped_from_local,broad,2,['735A'],"[""735A""]"
era_vene_12_105_22,ok,"ERA, Vene",12,"ERA, Vene 12, 105 (22)",open,Снегурочка.,core,v1_20251230,,,not_needed_native_atu,exact,3,['703*'],"[""703*""]"
era_vene_12_137_98,ok,"ERA, Vene",12,"ERA, Vene 12, 137/41 (98)",open,Иван-дурак.,core,v1_20251230,,,not_needed_native_atu,exact,4,['530'],"[""530""]"
era_vene_12_189_1,ok,"ERA, Vene",12,"ERA, Vene 12, 189/94 (1)",open,Два брата.,core,v1_20251230,,,not_needed_native_atu,exact,2,['735A'],"[""735A""]"
era_vene_12_440_19,ok,"ERA, Vene",12,"ERA, Vene 12, 440/1 (19)",open,Снегурочка.,core,v1_20251230,,,not_needed_native_atu,exact,3,['703*'],"[""703*""]"
era_vene_12_501_1,ok,"ERA, Vene",12,"ERA, Vene 12, 501/6 (1)",open,[Морозко].,core,v1_20251230,SUS,480,mapped_from_local,broad,5,['480D*'],"[""480D*""]"
era_vene_12_541_1,ok,"ERA, Vene",12,"ERA, Vene 12, 541/4 (1)",open,Липунюшка [Мальчик-с-пальчик].,core,v1_20251230,,,not_needed_native_atu,exact,2,['700'],"[""700""]"
era_vene_12_592_4,ok,"ERA, Vene",12,"ERA, Vene 12, 592/4 (4)",open,Снегурочка.,core,v1_20251230,,,not_needed_native_atu,exact,3,['703*'],"[""703*""]"
era_vene_12_95_18,ok,"ERA, Vene",12,"ERA, Vene 12, 95/7 (18)",open,"Мальчик-с-пальчик. [Мужик бросает отрубленный палец за печку. Палец становиться мальчиком, он говорит, что отнесёт отцу обед в поле. По пути на дороге соломинка - ему не перелезть. Мальчик зовёт отца, мужик слышит голос, но мальчика не видит. Когда находит, спрашивает, откуда от взялся, мальчик отвечает, мужик радуется.]",core,v1_20251230,,,not_needed_native_atu,exact,2,['700'],"[""700""]"
era_vene_12_97_19,ok,"ERA, Vene",12,"ERA, Vene 12, 97/101 (19)",open,Мороз[ко].,core,v1_20251230,SUS,480,mapped_from_local,broad,5,['480D*'],"[""480D*""]"
era_vene_13_106_14,ok,"ERA, Vene",13,"ERA, Vene 13, 106/24 (14)",open,"Холостой Митя встречает на реке девушку, которая зовёт его гулять, он отказывается. Ночью она опять приходит и зовёт гулять, на следующую ночь тоже самое. Девка лезет целоваться, но Митя видит у неё рога. На утро он молится и плачет._x000D_
Барин зовёт Митю покойнику читать, вихром кони уносят в ""соседнюю деревню"". У колодца девушка учит, как защититься от покойницы-колдуньи. После похорон (где стягает покойницу) Митя встречает девушку у горелого пня и женится на ней. Превращаются в голубей и прилетают в Мите домой, где пропадают поп и попадья. Митяна жена хочет навестить родителей, её отец сулит богатсво, он отказывается, просит лошадей. Отец-колдун отдаёт коней на время, они превращаются в попа и попадью.",core,v1_20251230,EE,424*,mapped_from_local,broad,3,"['307', '410']","[""307"", ""410""]"
era_vene_13_137_16,ok,"ERA, Vene",13,"ERA, Vene 13, 137/50 (16)",open,"[У попа и попадьи было много земли, не могут найти работника в помощь. Приходит мужик наниматься, плату требует - три щелчка в лоб. У батрака неведанная сила, поп и пападья хотят его извести от страха. Поп и попадья задают батраку невыполнимые задания: поймать медведя и посадить на цепь, привезти муку от мельника-колдуна, взять с барина оброк._x000D_
Батрак едет к барину на повозке с медведем, чёрт (с мельницы) в упряжке. Барин обещает отдать деньги, если батрак привезёт от беса баринову дочку. Барин и бес играют в карты на шелчки, убатрака защищает железная шапка. Батрак разбивает голову беса медной палкой, освобождает дочку. Барин отдаёт деньги, батрак возвращается к попу. Батрак щёлкая попа по лбу, на второй шёлчок поп умирает.]",core,v1_20251230,SUS,1060*,mapped_from_local,broad,3,"['650A', '1000', '1060']","[""650A"", ""1000"", ""1060""]"
era_vene_13_15_1,ok,"ERA, Vene",13,"ERA, Vene 13, 15/9 (1)",open,[Морозко].,core,v1_20251230,SUS,480,mapped_from_local,broad,5,['480D*'],"[""480D*""]"
era_vene_13_175_18,ok,"ERA, Vene",13,"ERA, Vene 13, 175/202 (18)",open,"Царица Милитриса хочет сгубить мужа, сильного царя Дадона, потому что любит другого, хилого царя Гвидона. ""Хворая"" цариса посылает мужа в лес убить вепря, куда он едет без свиты, только с дядькой. На них наподает войско Гвидона и царь возвращается обратно в город, но все ворота заперты; он бросается в море, чтобы не дасться живым. Милитриса встречает Гвидона, но её сын Бова не привечает отчима._x000D_
Гвидон видит сон, который толкуют как желание Бовы убить Гвидона, чтобы отомстить за смерть отца. Бову кидают в темницу, где ему прислуживает девка Чарнавка. Милитриса печёт Бове отравленные пироги, Чарнявка предупреждает Бову, выпускает из темницы. Бова уплывает с корабельщиками прикидываясь простолюдином. Остается в царстве Бранбауса, где прислуживает царевне Мальчигрии, которая положила на него глаз. Её приставания ему не нравятся, просится конюхом. После тяжелой работы идет спасть на три дня._x000D_
Бранбаусого царства атакует персидский царь, которые хочет Мальчирию, она его не любит. Бова признается Мальчирии, что он царский сын, они соглашаются поженится. Бова разметает войско метлой, убивает персидского царевича освобоздает Бранбауса, но народ не хочет царем простолюдина и отправляют Бову к персидскому царю с грамотой, где приказ его убить. Пирсидский царь кидает Бову в темницу, персидская царевна Лукопёра влюбляется в него, Бова отказывается жениться. Бова сбегает из тюрьмы и возвлащается в Бранбаусово царство к невесте. Они успляются персидского царя и сбегают в царство Бовы. Мальчигрия рожает мальчика. Бова оставляет жену с сыном, чтобы сразиться с Гвидоновым войском. Мальчигрия становиться батрачкой, через семь лет семье воссоиденяется, когда Бова признает сына по своему перстню.",core,v1_20251230,SUS,707B*,mapped_from_local,broad,6,['707'],"[""707""]"
era_vene_13_28_3,ok,"ERA, Vene",13,"ERA, Vene 13, 28/30 (3)",open,"Мать-рысь, сжигают шкуру - остается человеком.",core,v1_20251230,,,not_needed_native_atu,exact,3,['402'],"[""402""]"
era_vene_13_318_27,ok,"ERA, Vene",13,"ERA, Vene 13, 318/35 (27)",open,"Царевен похищают, старшую - орел, среднюю сокол, младшую медведь, богатырь вызывается их спасти. Приходит в орлиное царство, старшая дочь не хочет возвращаться, орел показывает богатырю портреты невест, он выбирает ту, которую уже 99 сватали, но все в полону. Орел даёт богатырю кран от бочки и три пера._x000D_
Богатырь приходит в царство сокола, всё повторяется. Сокол даёт три пера и полотенце-скатерть. Приходит к медведю, всё повторяется. Медведь даёт три шерстинки и гусли-самоигры._x000D_
Приходит в царство желанной невесты, его сразу в тюрьму, где седят 99 изхудалых молодцов, богатырь кормит-поит с помощью волшебных вещей. Царевна хочет их купить, богатырь отдаёт за позволение разделись с ней постель. Богатырю удаётся её поцеловать, они женятся._x000D_
Царевна уежает, запрящая ходить в одну из горниц, он ослушивается. Там закованный старик, бочка крови и бочка смолы. Он просит пить, богатырь отказывается, просит остричь бороду - отстригает. Старик вырывается, убивает богатыря и сжигает тело. Сокол, орёл, медведь чуют вонь, оживляют богатыря мёртвой и живой водой. Чтобы найти жену, отправляется к старушке и собирает 12 коров с помощью затьёв, получает кобылу - заколдованую жену.",core,v1_20251230,,,not_needed_native_atu,exact,4,"['552', '580', '302С*', '556А*']","[""552"", ""580"", ""302С*"", ""556А*""]"
era_vene_13_37_5,ok,"ERA, Vene",13,"ERA, Vene 13, 37/42 (5)",open,"Женя брата оговаривает сестру, брат отрубает ей руки. Сестра омывает руки целебной водой из колодца, они отрастают обратно.",core,v1_20251230,,,not_needed_native_atu,exact,2,['706'],"[""706""]"
era_vene_13_43_6,ok,"ERA, Vene",13,"ERA, Vene 13, 43/53 (6)",open,[Царевич и лисичка].,core,v1_20251230,,,not_needed_native_atu,exact,3,['550'],"[""550""]"
